,eventname,EventLongName,coordinates
317,sandallpark,Sandall Park parkrun,"[-1.089474, 53.544969]"
318,weymouth,Weymouth parkrun,"[-2.447795, 50.625242]"
319,corby,Corby parkrun,"[-0.691774, 52.493879]"
320,flattslane,Flatts Lane parkrun,"[-1.151741, 54.543872]"
321,clarecastle,Clare Castle parkrun,"[0.581882, 52.076428]"
322,haverfordwest,Haverfordwest parkrun,"[-4.992836, 51.797163]"
323,victoria,"Victoria parkrun, Glasgow","[-4.332347, 55.877504]"
324,castlewellan,Castlewellan parkrun,"[-5.95386, 54.262147]"
325,brentwood,Brentwood parkrun,"[0.266879, 51.622582]"
326,catton,Catton parkrun,"[1.295507, 52.656696]"
327,hazlehead,"Hazlehead parkrun, Aberdeen","[-2.175647, 57.141371]"
328,armagh,Armagh parkrun,"[-6.652951, 54.339812]"
329,larne,Larne parkrun,"[-5.843595, 54.88843]"
330,alness,Alness parkrun,"[-4.256669, 57.694306]"
331,fulhampalace,Fulham Palace parkrun,"[-0.218493, 51.472465]"
332,greatlines,"Great Lines parkrun, Medway","[0.541334, 51.388527]"
333,longrunmeadow,Longrun Meadow parkrun,"[-3.114989, 51.018755]"
334,northalafields,Northala Fields parkrun,"[-0.376711, 51.541272]"
335,tonbridge,Tonbridge parkrun,"[0.270174, 51.197605]"
336,blickling,Blickling parkrun,"[1.221671, 52.813653]"
337,pontypool,Pontypool parkrun,"[-3.028573, 51.699213]"
338,pomphreyhill,Pomphrey Hill parkrun,"[-2.47805, 51.479321]"
339,ruchill,Ruchill parkrun,"[-4.276162, 55.884538]"
340,carrickfergus,Carrickfergus parkrun,"[-5.805285, 54.719992]"
341,fountainsabbey,Fountains Abbey parkrun,"[-1.581983, 54.110196]"
342,kirkcaldy,Kirkcaldy parkrun,"[-3.169549, 56.104087]"
343,lanhydrock,Lanhydrock parkrun,"[-4.69614, 50.441131]"
344,penrith,Penrith parkrun,"[-2.720532, 54.658026]"
345,greatcornard,Great Cornard parkrun,"[0.751362, 52.02463]"
346,risingsun,Rising Sun parkrun,"[-1.532028, 55.01998]"
347,beeston,Beeston parkrun,"[-1.201737, 52.913592]"
348,bangor,"Bangor parkrun, Northern Ireland","[-5.661693, 54.660024]"
349,ormskirk,Ormskirk parkrun,"[-2.868097, 53.559245]"
350,lymepark,Lyme Park parkrun,"[-2.058402, 53.337193]"
351,reigatepriory,Reigate Priory parkrun,"[-0.208644, 51.23435]"
352,cleethorpes,Cleethorpes parkrun,"[-0.025384, 53.541552]"
353,keswick,Keswick parkrun,"[-3.129497, 54.603863]"
354,springburn,"Springburn parkrun, Glasgow","[-4.224823, 55.889857]"
355,parke,Parke parkrun,"[-3.686562, 50.59305]"
356,rushmoor,Rushmoor parkrun,"[-0.755847, 51.265798]"
357,buckingham,Buckingham parkrun,"[-0.984462, 51.998987]"
358,druridgebay,Druridge Bay parkrun,"[-1.572348, 55.292765]"
359,humberbridge,Humber Bridge parkrun,"[-0.453352, 53.71723]"
360,pendle,Pendle parkrun,"[-2.18011, 53.863571]"
361,bognorregis,Bognor Regis parkrun,"[-0.668305, 50.786913]"
362,cheadlehulme,Cheadle Hulme parkrun,"[-2.210652, 53.379026]"
363,peckhamrye,Peckham Rye parkrun,"[-0.060688, 51.455486]"
364,watergrove,"Watergrove parkrun, Rochdale","[-2.131777, 53.657034]"
365,comber,Comber parkrun,"[-5.740415, 54.549593]"
366,wetherby,Wetherby parkrun,"[-1.392197, 53.925673]"
367,portobello,"Portobello parkrun, Edinburgh","[-3.122656, 55.950689]"
368,oakwellhall,Oakwell Hall parkrun,"[-1.671596, 53.739437]"
369,colby,Colby parkrun,"[-4.669924, 51.74064]"
370,greatnotley,Great Notley parkrun,"[0.51584, 51.864147]"
371,woking,Woking parkrun,"[-0.556204, 51.311708]"
372,cranleigh,Cranleigh parkrun,"[-0.49151, 51.13819]"
373,blandford,Blandford parkrun,"[-2.16627, 50.863122]"
374,exeterriverside,Exeter Riverside parkrun,"[-3.525833, 50.713762]"
375,whinlatterforest,Whinlatter Forest parkrun,"[-3.22446, 54.610017]"
376,chichester,Chichester parkrun,"[-0.777535, 50.846182]"
377,nostell,Nostell parkrun,"[-1.381241, 53.650212]"
378,dartford,Dartford parkrun,"[0.220166, 51.439141]"
379,valley,"Valley parkrun, Newtownabbey","[-5.928342, 54.659949]"
380,folkestone,Folkestone parkrun,"[1.172753, 51.075729]"
381,kesgrave,Kesgrave parkrun,"[1.257741, 52.058138]"
382,hereford,Hereford parkrun,"[-2.724152, 52.068892]"
383,tamarlakes,Tamar Lakes parkrun,"[-4.433418, 50.879837]"
384,fellfoot,"Fell Foot parkrun, Newby Bridge","[-2.952259, 54.274736]"
385,panshanger,Panshanger parkrun,"[-0.138723, 51.798644]"
386,ellesmereport,Ellesmere Port parkrun,"[-2.902542, 53.272524]"
387,penrhyn,Penrhyn parkrun,"[-4.094495, 53.226852]"
388,harcourthill,Harcourt Hill parkrun,"[-1.295191, 51.739369]"
389,harlow,Harlow parkrun,"[0.103624, 51.77766]"
390,perryhall,Perry Hall parkrun,"[-1.911825, 52.52486]"
391,daventry,Daventry parkrun,"[-1.15732, 52.262374]"
392,conwy,Conwy parkrun,"[-3.808966, 53.279388]"
393,meltonmowbray,Melton Mowbray parkrun,"[-0.879068, 52.780002]"
394,maidenhead,Maidenhead parkrun,"[-0.712135, 51.51095]"
395,hockleywoods,Hockley Woods parkrun,"[0.64912, 51.596133]"
396,widnes,Widnes parkrun,"[-2.730069, 53.374508]"
397,northallerton,Northallerton parkrun,"[-1.435519, 54.348466]"
398,southoxhey,South Oxhey parkrun,"[-0.393135, 51.631433]"
399,limavady,Limavady parkrun,"[-6.944777, 55.047128]"
400,cassiobury,Cassiobury parkrun,"[-0.406335, 51.657677]"
401,penrose,Penrose parkrun,"[-5.281819, 50.096824]"
402,evesham,Evesham parkrun,"[-1.958122, 52.090191]"
403,croxtethhall,Croxteth Hall parkrun,"[-2.891774, 53.44217]"
404,hastings,Hastings parkrun,"[0.539739, 50.850291]"
405,wilmslow,Wilmslow parkrun,"[-2.231588, 53.331288]"
406,barryisland,Barry Island parkrun,"[-3.271371, 51.390202]"
407,lullingstone,Lullingstone parkrun,"[0.187147, 51.353118]"
408,stamfordpark,Stamford Park parkrun,"[-2.066163, 53.490901]"
