,eventname,EventLongName,coordinates
789,thefishermanswalk,The Fisherman‘s Walk parkrun,"[-6.481169, 54.868789]"
790,fulwellquarry,Fulwell Quarry parkrun,"[-1.396723, 54.9329]"
791,morden,Morden parkrun,"[-0.208072, 51.392759]"
792,ypromenad,"Y Promenâd parkrun, Aberhonddu","[-3.401145, 51.950753]"
793,bughunterwaters,Bug Hunter Waters parkrun,"[0.065252, 52.28625]"
794,mallingrec,Malling Rec parkrun,"[0.011973, 50.880478]"
795,ypromenadabermaw,"Y Promenâd parkrun, Abermaw","[-4.056196, 52.7208]"
796,theplens,The Plens parkrun,"[-0.81857, 52.446215]"
797,threebrooks,Three Brooks parkrun,"[-2.53918, 51.531366]"
798,withernseapromenade,Withernsea Promenade parkrun,"[0.038024, 53.728574]"
799,dereham,Dereham parkrun,"[0.96988, 52.684276]"
800,skinadin,Skinadin parkrun,"[-5.941175, 57.259099]"
801,crinancanal,Crinan Canal parkrun,"[-5.554954, 56.090978]"
802,paisleypark,Paisley Park parkrun,"[-5.972965, 54.604634]"
803,battersea,Battersea parkrun,"[-0.160095, 51.478869]"
804,simmonspark,Simmons Park parkrun,"[-3.996543, 50.734898]"
805,cockermouthgreenway,Cockermouth Greenway parkrun,"[-3.356998, 54.659659]"
806,ingrebournehill,Ingrebourne Hill parkrun,"[0.194266, 51.527042]"
807,birchallplayingfields,Birchall Playing Fields parkrun,"[-2.024607, 53.093328]"
808,blackrocks,Black Rocks parkrun,"[-1.56564, 53.098298]"
809,oaklandscollege,Oaklands College parkrun,"[-0.288522, 51.754303]"
810,greendalefarmshop,Greendale Farm Shop parkrun,"[-3.398836, 50.703157]"
811,vicarwatercountrypark,Vicar Water Country Park parkrun,"[-1.120002, 53.158738]"
